,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,micro avg_precision,micro avg_recall,micro avg_f1-score,micro avg_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,recall,precision,f1_score,model_type,params,auroc
0,0.9075425790754258,0.9841688654353562,0.9443037974683545,379,0.8235294117647058,0.42424242424242425,0.5599999999999999,66,0.9011235955056179,0.9011235955056179,0.9011235955056179,445,0.8655359954200659,0.7042056448388903,0.7521518987341772,445,0.8950821992046225,0.9011235955056179,0.8873059308775423,445,0.42424242424242425,0.8235294117647058,0.5599999999999999,grid_search_MLP,"{'mlpc__hidden_layer_sizes': (3, 3), 'mlpc__learning_rate_init': 0.01}",0.8965379387542975
0,0.9079601990049752,0.9630606860158312,0.9346991037131883,379,0.6744186046511628,0.4393939393939394,0.5321100917431193,66,0.8853932584269663,0.8853932584269663,0.8853932584269663,445,0.791189401828069,0.7012273127048853,0.7334045977281538,445,0.8733225692805895,0.8853932584269663,0.8749892727243692,445,0.4393939393939394,0.6744186046511628,0.5321100917431193,decision_tree,"{'dt__criterion': 'gini', 'dt__max_depth': 6, 'dt__max_features': None, 'dt__min_samples_split': 50}",0.8337730870712401
0,0.9487179487179487,0.7810026385224275,0.8567293777134587,379,0.37593984962406013,0.7575757575757576,0.5025125628140704,66,0.7775280898876404,0.7775280898876404,0.7775280898876404,445,0.6623288991710043,0.7692891980490926,0.6796209702637646,445,0.8637665902006528,0.7775280898876404,0.8041938501104035,445,0.7575757575757576,0.37593984962406013,0.5025125628140704,naive_bayes,{'nb__alpha': 0.75},0.8388102662508995
0,0.9411764705882353,0.9709762532981531,0.9558441558441558,379,0.7962962962962963,0.6515151515151515,0.7166666666666667,66,0.9235955056179775,0.9235955056179775,0.9235955056179775,445,0.8687363834422658,0.8112457024066523,0.8362554112554113,445,0.9196886245134758,0.9235955056179775,0.9203706405953597,445,0.6515151515151515,0.7962962962962963,0.7166666666666667,logistic_regression,"{'lr__C': 4.281332398719396, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.9433517230351004
0,0.9257425742574258,0.9868073878627969,0.9553001277139208,379,0.8780487804878049,0.5454545454545454,0.6728971962616822,66,0.9213483146067416,0.9213483146067416,0.9213483146067416,445,0.9018956773726153,0.7661309666586711,0.8140986619878015,445,0.9186688879904708,0.9213483146067416,0.9134156479929146,445,0.5454545454545454,0.8780487804878049,0.6728971962616822,xgboost,,0.9370352602542577
0,0.9242424242424242,0.9656992084432717,0.944516129032258,379,0.7346938775510204,0.5454545454545454,0.6260869565217392,66,0.903370786516854,0.903370786516854,0.903370786516854,445,0.8294681508967223,0.7555768769489086,0.7853015427769986,445,0.8961296060814519,0.903370786516854,0.8972884315363158,445,0.5454545454545454,0.7346938775510204,0.6260869565217392,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.9000159910450148
0,0.8663594470046083,0.9947089947089947,0.9261083743842364,378,0.7777777777777778,0.1076923076923077,0.18918918918918923,65,0.8645598194130926,0.8645598194130926,0.8645598194130926,443,0.8220686123911931,0.5512006512006512,0.5576487817867128,443,0.853362136621439,0.8645598194130926,0.8179825345700648,443,0.1076923076923077,0.7777777777777778,0.18918918918918923,grid_search_MLP,"{'mlpc__hidden_layer_sizes': (5, 5), 'mlpc__learning_rate_init': 0.001}",0.8089540089540089
0,0.8867469879518072,0.9735449735449735,0.9281210592686002,378,0.6428571428571429,0.27692307692307694,0.38709677419354843,65,0.871331828442438,0.871331828442438,0.871331828442438,443,0.764802065404475,0.6252340252340252,0.6576089167310744,443,0.8509617962336284,0.871331828442438,0.8487382634900938,443,0.27692307692307694,0.6428571428571429,0.38709677419354843,decision_tree,"{'dt__criterion': 'entropy', 'dt__max_depth': 5, 'dt__max_features': None, 'dt__min_samples_split': 70}",0.8560032560032561
0,0.9163987138263665,0.753968253968254,0.8272859216255442,378,0.29545454545454547,0.6,0.3959390862944162,65,0.7313769751693002,0.7313769751693002,0.7313769751693002,443,0.605926629640456,0.676984126984127,0.6116125039599802,443,0.8252895243361444,0.7313769751693002,0.7639957539133019,443,0.6,0.29545454545454547,0.3959390862944162,naive_bayes,{'nb__alpha': 0.75},0.7294668294668295
0,0.9223057644110275,0.9735449735449735,0.9472329472329472,378,0.7727272727272727,0.5230769230769231,0.6238532110091742,65,0.90744920993228,0.90744920993228,0.90744920993228,443,0.8475165185691501,0.7483109483109482,0.7855430791210607,443,0.9003585816583322,0.90744920993228,0.8997844532046283,443,0.5230769230769231,0.7727272727272727,0.6238532110091742,logistic_regression,"{'lr__C': 4.281332398719396, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.9031746031746032
