,best_threshold,best_profit,0.0_precision,0.0_recall,0.0_f1-score,0.0_support,1.0_precision,1.0_recall,1.0_f1-score,1.0_support,micro avg_precision,micro avg_recall,micro avg_f1-score,micro avg_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,recall,precision,f1_score,model_type,params,auroc
0,0.325,0.3392857142857143,0.946969696969697,0.9541984732824428,0.9505703422053233,262,0.5384615384615384,0.5,0.5185185185185186,28,0.9103448275862069,0.9103448275862069,0.9103448275862069,290,0.7427156177156178,0.7270992366412214,0.734544430361921,290,0.9075275299413231,0.9103448275862069,0.9088549937114249,290,0.5,0.5384615384615384,0.5185185185185186,xgboost,,0.8593238822246456
0,0.5,0.17857142857142858,0.927007299270073,0.9694656488549618,0.9477611940298507,262,0.5,0.2857142857142857,0.36363636363636365,28,0.903448275862069,0.903448275862069,0.903448275862069,290,0.7135036496350364,0.6275899672846237,0.6556987788331072,290,0.8857790083060659,0.903448275862069,0.8913629345435831,290,0.2857142857142857,0.5,0.36363636363636365,adaboost,,0.7528625954198472
0,0.17500000000000002,0.15625,0.9320754716981132,0.9427480916030534,0.9373814041745729,262,0.4,0.35714285714285715,0.3773584905660378,28,0.8862068965517241,0.8862068965517241,0.8862068965517241,290,0.6660377358490566,0.6499454743729552,0.6573699473703054,290,0.8807026675341574,0.8862068965517241,0.8833102263089213,290,0.35714285714285715,0.4,0.3773584905660378,gradientboost,,0.7559296619411123
0,0.25,0.27314814814814814,0.946969696969697,0.9433962264150944,0.945179584120983,265,0.4642857142857143,0.48148148148148145,0.4727272727272727,27,0.9006849315068494,0.9006849315068494,0.9006849315068494,292,0.7056277056277056,0.7124388539482879,0.7089534284241279,292,0.9023379588448083,0.9006849315068494,0.9014939251907426,292,0.48148148148148145,0.4642857142857143,0.4727272727272727,xgboost,,0.8422082459818309
0,0.5,0.20833333333333334,0.9343065693430657,0.9660377358490566,0.9499072356215212,265,0.5,0.3333333333333333,0.4,27,0.9075342465753424,0.9075342465753424,0.9075342465753424,292,0.7171532846715328,0.6496855345911949,0.6749536178107607,292,0.8941480851914807,0.9075342465753424,0.8990596487661066,292,0.3333333333333333,0.5,0.4,adaboost,,0.7830188679245282
0,0.375,0.0,0.9075342465753424,1.0,0.9515260323159784,265,0.0,0.0,0.0,27,0.9075342465753424,0.9075342465753424,0.9075342465753424,292,0.4537671232876712,0.5,0.4757630161579892,292,0.8236184087070745,0.9075342465753424,0.8635424608347064,292,0.0,0.0,0.0,gradientboost,,0.7255765199161425
0,0.30000000000000004,0.4928571428571429,0.9446640316205533,0.9598393574297188,0.952191235059761,249,0.6774193548387096,0.6,0.6363636363636364,35,0.9154929577464789,0.9154929577464789,0.9154929577464789,284,0.8110416932296315,0.7799196787148595,0.7942774357116986,284,0.9117289482143403,0.9154929577464789,0.9132688197274921,284,0.6,0.6774193548387096,0.6363636363636364,xgboost,,0.8870912220309811
0,0.5,0.3142857142857143,0.9198473282442748,0.9678714859437751,0.9432485322896283,249,0.6363636363636364,0.4,0.4912280701754386,35,0.897887323943662,0.897887323943662,0.897887323943662,284,0.7781054823039556,0.6839357429718875,0.7172383012325335,284,0.8849109577660271,0.897887323943662,0.8875417851980909,284,0.4,0.6363636363636364,0.4912280701754386,adaboost,,0.8337349397590361
0,0.15000000000000002,0.2392857142857143,0.9262295081967213,0.9076305220883534,0.9168356997971602,249,0.425,0.4857142857142857,0.45333333333333337,35,0.8556338028169014,0.8556338028169014,0.8556338028169014,284,0.6756147540983607,0.6966724039013196,0.6850845165652468,284,0.8644582659893789,0.8556338028169014,0.859713929282252,284,0.4857142857142857,0.425,0.45333333333333337,gradientboost,,0.789443488238669
0,0.17500000000000002,0.3588709677419355,0.9504132231404959,0.9163346613545816,0.9330628803245437,251,0.475,0.6129032258064516,0.5352112676056339,31,0.8829787234042553,0.8829787234042553,0.8829787234042553,282,0.712706611570248,0.7646189435805166,0.7341370739650888,282,0.8981514858449094,0.8829787234042553,0.8893274193518976,282,0.6129032258064516,0.475,0.5352112676056339,xgboost,,0.8756586556997815
0,0.5,0.12096774193548387,0.9074074074074074,0.9760956175298805,0.9404990403071017,251,0.5,0.1935483870967742,0.27906976744186046,31,0.8900709219858156,0.8900709219858156,0.8900709219858156,282,0.7037037037037037,0.5848220023133274,0.6097844038744811,282,0.862621486734962,0.8900709219858156,0.8677887301694334,282,0.1935483870967742,0.5,0.27906976744186046,adaboost,,0.814676776763912
0,0.15000000000000002,0.20161290322580644,0.9375,0.896414342629482,0.9164969450101832,251,0.38095238095238093,0.5161290322580645,0.4383561643835616,31,0.8546099290780141,0.8546099290780141,0.8546099290780141,282,0.6592261904761905,0.7062716874437733,0.6774265546968724,282,0.8763192333671057,0.8546099290780141,0.8639353698349164,282,0.5161290322580645,0.38095238095238093,0.4383561643835616,gradientboost,,0.7975838581159234
0,0.275,0.2727272727272727,0.9274193548387096,0.9349593495934959,0.9311740890688259,246,0.4838709677419355,0.45454545454545453,0.46874999999999994,33,0.8781362007168458,0.8781362007168458,0.8781362007168457,279,0.7056451612903225,0.6947524020694752,0.6999620445344129,279,0.874956642386403,0.8781362007168458,0.8764787667058465,279,0.45454545454545453,0.4838709677419355,0.46874999999999994,xgboost,,0.8762626262626262
0,0.5,0.2689393939393939,0.9215686274509803,0.9552845528455285,0.9381237524950099,246,0.5416666666666666,0.3939393939393939,0.45614035087719296,33,0.8888888888888888,0.8888888888888888,0.8888888888888888,279,0.7316176470588235,0.6746119733924612,0.6971320516861015,279,0.8766339869281046,0.8888888888888888,0.8811149630563434,279,0.3939393939393939,0.5416666666666666,0.45614035087719296,adaboost,,0.8569228874106923
0,0.15000000000000002,0.3068181818181818,0.9375,0.9146341463414634,0.925925925925926,246,0.46153846153846156,0.5454545454545454,0.4999999999999999,33,0.8709677419354839,0.8709677419354839,0.8709677419354839,279,0.6995192307692308,0.7300443458980044,0.712962962962963,279,0.8812034739454094,0.8709677419354839,0.8755475906013541,279,0.5454545454545454,0.46153846153846156,0.4999999999999999,gradientboost,,0.8310544469081054
