,0.0_f1-score,0.0_precision,0.0_recall,0.0_support,0_f1-score,0_precision,0_recall,0_support,1.0_f1-score,1.0_precision,1.0_recall,1.0_support,1_f1-score,1_precision,1_recall,1_support,auroc,best_profit,best_threshold,f1_score,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,model_type,params,precision,recall,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,,,,,0.9264305177111717,0.9550561797752809,0.8994708994708994,378.0,,,,,0.6447368421052632,0.5632183908045977,0.7538461538461538,65.0,0.911965811965812,0.5346153846153846,0.2,0.6447368421052632,0.7855836799082174,0.7591372852899393,0.8266585266585267,443,0.8781038374717833,0.8781038374717833,0.8781038374717833,443,xgboost,,0.5632183908045977,0.7538461538461538,0.8850984885590631,0.8975630504680701,0.8781038374717833,443
0,,,,,0.9278350515463917,0.9045226130653267,0.9523809523809523,378.0,,,,,0.4909090909090909,0.6,0.4153846153846154,65.0,0.8831094831094831,0.31153846153846154,0.5,0.4909090909090909,0.7093720712277413,0.7522613065326633,0.6838827838827839,443,0.873589164785553,0.873589164785553,0.873589164785553,443,adaboost,,0.6,0.4153846153846154,0.8637262762835823,0.8598409655500983,0.873589164785553,443
0,,,,,0.9124668435013262,0.9148936170212766,0.91005291005291,378.0,,,,,0.5,0.4925373134328358,0.5076923076923077,65.0,0.8010785510785512,0.31153846153846154,0.225,0.5,0.7062334217506632,0.7037154652270562,0.7088726088726088,443,0.8510158013544018,0.8510158013544018,0.8510158013544018,443,gradientboost,,0.4925373134328358,0.5076923076923077,0.8519468777505673,0.8529226018220697,0.8510158013544018,443
0,,,,,0.9401041666666666,0.9256410256410257,0.955026455026455,378.0,,,,,0.6101694915254237,0.6792452830188679,0.5538461538461539,65.0,0.8457061457061458,0.45576923076923076,0.4,0.6101694915254237,0.7751368290960452,0.8024431543299468,0.7544363044363045,443,0.8961625282167043,0.8961625282167043,0.8961625282167043,443,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.6792452830188679,0.5538461538461539,0.891693887018403,0.8894881514413863,0.8961625282167043,443
0,0.9487666034155596,0.9398496240601504,0.9578544061302682,261.0,,,,,0.49056603773584906,0.5416666666666666,0.4482758620689655,29.0,,,,,0.8199233716475096,0.30603448275862066,0.17500000000000002,0.49056603773584906,0.7196663205757043,0.7407581453634084,0.7030651340996168,290,0.906896551724138,0.906896551724138,0.906896551724138,290,grid_search_MLP,"{'mlpc__hidden_layer_sizes': (3, 3), 'mlpc__learning_rate_init': 0.001}",0.5416666666666666,0.4482758620689655,0.9029465468475886,0.9000313283208019,0.906896551724138,290
0,0.9424860853432283,0.9136690647482014,0.9731800766283525,261.0,,,,,0.2439024390243903,0.4166666666666667,0.1724137931034483,29.0,,,,,0.6835116924296473,0.08189655172413793,0.45,0.2439024390243903,0.5931942621838093,0.665167865707434,0.5727969348659003,290,0.893103448275862,0.8931034482758621,0.8931034482758621,290,decision_tree,"{'dt__criterion': 'entropy', 'dt__max_depth': 6, 'dt__max_features': None, 'dt__min_samples_split': 70}",0.4166666666666667,0.1724137931034483,0.8726277207113444,0.8639688249400479,0.8931034482758621,290
0,0.9447619047619048,0.9393939393939394,0.9501915708812261,261.0,,,,,0.4727272727272727,0.5,0.4482758620689655,29.0,,,,,0.832738803012287,0.2801724137931034,0.8500000000000001,0.4727272727272727,0.7087445887445888,0.7196969696969697,0.6992337164750958,290,0.9,0.9,0.9,290,naive_bayes,{'nb__alpha': 0.75},0.5,0.4482758620689655,0.8975584415584416,0.8954545454545455,0.9,290
0,0.9457364341085271,0.9568627450980393,0.9348659003831418,261.0,,,,,0.5625,0.5142857142857142,0.6206896551724138,29.0,,,,,0.8537455410225921,0.40086206896551724,0.325,0.5625,0.7541182170542635,0.7355742296918768,0.7777777777777778,290,0.903448275862069,0.903448275862069,0.903448275862069,290,logistic_regression,"{'lr__C': 78.47599703514607, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5142857142857142,0.6206896551724138,0.9074127906976746,0.9126050420168067,0.903448275862069,290
0,0.9477611940298507,0.9236363636363636,0.9731800766283525,261.0,,,,,0.36363636363636365,0.5333333333333333,0.27586206896551724,29.0,,,,,0.8131853613423174,0.1853448275862069,0.325,0.36363636363636365,0.6556987788331072,0.7284848484848485,0.6245210727969348,290,0.903448275862069,0.903448275862069,0.903448275862069,290,xgboost,,0.5333333333333333,0.27586206896551724,0.8893487109905021,0.8846060606060605,0.903448275862069,290
0,0.9383177570093458,0.916058394160584,0.9616858237547893,261.0,,,,,0.26666666666666666,0.375,0.20689655172413793,29.0,,,,,0.7636411679217863,0.07758620689655173,0.5,0.26666666666666666,0.6024922118380063,0.645529197080292,0.5842911877394636,290,0.8862068965517241,0.8862068965517241,0.8862068965517241,290,adaboost,,0.375,0.20689655172413793,0.8711526479750779,0.8619525547445256,0.8862068965517241,290
0,0.937381404174573,0.9285714285714286,0.946360153256705,261.0,,,,,0.37735849056603776,0.4166666666666667,0.3448275862068966,29.0,,,,,0.8124587131721496,0.16379310344827586,0.17500000000000002,0.37735849056603776,0.6573699473703054,0.6726190476190477,0.6455938697318008,290,0.8862068965517241,0.8862068965517241,0.8862068965517241,290,gradientboost,,0.4166666666666667,0.3448275862068966,0.8813791128137195,0.8773809523809524,0.8862068965517241,290
