,best_threshold,best_profit_ratio,best_profit,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,micro avg_precision,micro avg_recall,micro avg_f1-score,micro avg_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,recall,precision,f1_score,model_type,params,auroc
0,0.375,0.4733606557377049,231,0.9354838709677419,0.9219653179190751,0.9286754002911207,346,0.5909090909090909,0.639344262295082,0.6141732283464568,61,0.8796068796068796,0.8796068796068796,0.8796068796068796,407,0.7631964809384164,0.7806547901070786,0.7714243143187888,407,0.8838399850130056,0.8796068796068796,0.8815387111298811,407,0.639344262295082,0.5909090909090909,0.6141732283464568,grid_search_MLP,"{'mlpc__hidden_layer_sizes': 3, 'mlpc__learning_rate_init': 0.01}",0.893963801762532
0,0.30000000000000004,0.4918032786885246,240,0.9429429429429429,0.9075144508670521,0.9248895434462445,346,0.5675675675675675,0.6885245901639344,0.6222222222222222,61,0.8746928746928747,0.8746928746928747,0.8746928746928747,407,0.7552552552552552,0.7980195205154932,0.7735558828342334,407,0.8866827515476163,0.8746928746928747,0.8795266279802364,407,0.6885245901639344,0.5675675675675675,0.6222222222222222,xgboost,,0.8688050791244195
0,0.5,0.2889344262295082,141,0.9042253521126761,0.9277456647398844,0.9158345221112697,346,0.5192307692307693,0.4426229508196721,0.4778761061946903,61,0.855036855036855,0.855036855036855,0.8550368550368551,407,0.7117280606717227,0.6851843077797782,0.69685531415298,407,0.8465234613121937,0.855036855036855,0.8501945629689813,407,0.4426229508196721,0.5192307692307693,0.4778761061946903,adaboost,,0.8512745190940965
0,0.275,0.4344262295081967,212,0.9235127478753541,0.9421965317919075,0.9327610872675249,346,0.6296296296296297,0.5573770491803278,0.591304347826087,61,0.8845208845208845,0.8845208845208845,0.8845208845208845,407,0.7765711887524919,0.7497867904861177,0.762032717546806,407,0.8794663837156754,0.8845208845208845,0.8815845243536976,407,0.5573770491803278,0.6296296296296297,0.591304347826087,gradientboost,,0.8458258315171042
0,0.325,0.4713114754098361,230,0.9447852760736196,0.8901734104046243,0.9166666666666667,346,0.5308641975308642,0.7049180327868853,0.6056338028169014,61,0.8624078624078624,0.8624078624078624,0.8624078624078625,407,0.7378247368022419,0.7975457215957548,0.761150234741784,407,0.8827479645475556,0.8624078624078624,0.8700499475147363,407,0.7049180327868853,0.5308641975308642,0.6056338028169014,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.8810290912536719
0,0.125,0.3475,139,0.9714285714285714,0.7418181818181818,0.8412371134020619,275,0.3826086956521739,0.88,0.5333333333333334,50,0.7630769230769231,0.7630769230769231,0.7630769230769231,325,0.6770186335403727,0.8109090909090909,0.6872852233676976,325,0.8808408982322027,0.7630769230769231,0.793867301083796,325,0.88,0.3826086956521739,0.5333333333333334,grid_search_MLP,"{'mlpc__hidden_layer_sizes': 3, 'mlpc__learning_rate_init': 0.01}",0.8472
0,0.2,0.325,130,0.9282868525896414,0.8472727272727273,0.8859315589353612,275,0.43243243243243246,0.64,0.5161290322580645,50,0.8153846153846154,0.8153846153846154,0.8153846153846154,325,0.680359642511037,0.7436363636363637,0.7010302955967129,325,0.85200155718084,0.8153846153846154,0.8290388625234694,325,0.64,0.43243243243243246,0.5161290322580645,decision_tree,"{'dt__criterion': 'gini', 'dt__max_depth': 5, 'dt__max_features': None, 'dt__min_samples_split': 70}",0.7872363636363635
0,0.875,0.315,126,0.9,0.9490909090909091,0.9238938053097344,275,0.6,0.42,0.49411764705882355,50,0.8676923076923077,0.8676923076923077,0.8676923076923077,325,0.75,0.6845454545454546,0.709005726184279,325,0.8538461538461538,0.8676923076923077,0.8577743963480559,325,0.42,0.6,0.49411764705882355,naive_bayes,{'nb__alpha': 1},0.7881454545454546
0,0.375,0.355,142,0.9133574007220217,0.92,0.9166666666666666,275,0.5416666666666666,0.52,0.5306122448979592,50,0.8584615384615385,0.8584615384615385,0.8584615384615384,325,0.7275120336943441,0.72,0.7236394557823129,325,0.8561742108673516,0.8584615384615385,0.85727367870225,325,0.52,0.5416666666666666,0.5306122448979592,logistic_regression,"{'lr__C': 78.47599703514607, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.8597818181818182
0,0.225,0.435,174,0.9442231075697212,0.8618181818181818,0.9011406844106463,275,0.4864864864864865,0.72,0.5806451612903226,50,0.84,0.84,0.8399999999999999,325,0.7153547970281038,0.7909090909090909,0.7408929228504845,325,0.8738020889415312,0.84,0.8518336808536735,325,0.72,0.4864864864864865,0.5806451612903226,gp,,0.8791272727272728
