,best_threshold,best_profit_ratio,best_profit,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,micro avg_precision,micro avg_recall,micro avg_f1-score,micro avg_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,recall,precision,f1_score,model_type,params,auroc
0,0.30000000000000004,0.35,140,0.9107142857142857,0.9272727272727272,0.918918918918919,275,0.5555555555555556,0.5,0.5263157894736842,50,0.8615384615384616,0.8615384615384616,0.8615384615384615,325,0.7331349206349207,0.7136363636363636,0.7226173541963016,325,0.856074481074481,0.8615384615384616,0.8585184374658059,325,0.5,0.5555555555555556,0.5263157894736842,gradientboost,,0.8556363636363638
0,0.4,0.39,156,0.9250936329588015,0.8981818181818182,0.9114391143911439,275,0.5172413793103449,0.6,0.5555555555555556,50,0.8523076923076923,0.8523076923076923,0.8523076923076923,325,0.7211675061345733,0.749090909090909,0.7334973349733498,325,0.8623471323975005,0.8523076923076923,0.8566877976472073,325,0.6,0.5172413793103449,0.5555555555555556,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.853890909090909
0,0.275,0.51,204,0.9461538461538461,0.8978102189781022,0.9213483146067415,274,0.5625,0.72,0.631578947368421,50,0.8703703703703703,0.8703703703703703,0.8703703703703703,324,0.7543269230769231,0.8089051094890511,0.7764636309875812,324,0.8869480056980057,0.8703703703703703,0.8766308196625562,324,0.72,0.5625,0.631578947368421,grid_search_MLP,"{'mlpc__hidden_layer_sizes': 3, 'mlpc__learning_rate_init': 0.01}",0.8790510948905109
0,0.17500000000000002,0.3825,153,0.9525862068965517,0.8065693430656934,0.8735177865612649,274,0.42391304347826086,0.78,0.5492957746478873,50,0.8024691358024691,0.8024691358024691,0.8024691358024691,324,0.6882496251874063,0.7932846715328468,0.7114067806045761,324,0.8710008421715069,0.8024691358024691,0.8234835254635214,324,0.78,0.42391304347826086,0.5492957746478873,decision_tree,"{'dt__criterion': 'gini', 'dt__max_depth': 5, 'dt__max_features': None, 'dt__min_samples_split': 70}",0.83985401459854
0,0.325,0.355,142,0.9482758620689655,0.8029197080291971,0.8695652173913044,274,0.41304347826086957,0.76,0.5352112676056338,50,0.7962962962962963,0.7962962962962963,0.7962962962962963,324,0.6806596701649176,0.7814598540145985,0.7023882424984691,324,0.8656782719751237,0.7962962962962963,0.8179673856342565,324,0.76,0.41304347826086957,0.5352112676056338,naive_bayes,{'nb__alpha': 1},0.8356204379562044
0,0.25,0.495,198,0.9457364341085271,0.8905109489051095,0.9172932330827068,274,0.5454545454545454,0.72,0.6206896551724138,50,0.8641975308641975,0.8641975308641975,0.8641975308641975,324,0.7455954897815362,0.8052554744525547,0.7689914441275603,324,0.8839645377113078,0.8641975308641975,0.871521075997785,324,0.72,0.5454545454545454,0.6206896551724138,logistic_regression,"{'lr__C': 78.47599703514607, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.8755474452554745
0,0.225,0.405,162,0.933852140077821,0.8759124087591241,0.903954802259887,274,0.4925373134328358,0.66,0.5641025641025641,50,0.8425925925925926,0.8425925925925926,0.8425925925925926,324,0.7131947267553285,0.767956204379562,0.7340286831812255,324,0.8657480001634714,0.8425925925925926,0.8515084692109175,324,0.66,0.4925373134328358,0.5641025641025641,gp,,0.8379562043795621
0,0.375,0.2725,109,0.8954703832752613,0.9379562043795621,0.9162210338680927,274,0.5405405405405406,0.4,0.45977011494252873,50,0.8549382716049383,0.8549382716049383,0.8549382716049383,324,0.7180054619079009,0.668978102189781,0.6879955744053108,324,0.8406972593964464,0.8549382716049383,0.8457810772437774,324,0.4,0.5405405405405406,0.45977011494252873,xtree,"{'xtree__criterion': 'gini', 'xtree__min_samples_leaf': 1, 'xtree__min_samples_split': 5}",0.7994160583941605
0,0.42500000000000004,0.385,154,0.9072164948453608,0.9635036496350365,0.9345132743362833,274,0.696969696969697,0.46,0.5542168674698795,50,0.8858024691358025,0.8858024691358025,0.8858024691358025,324,0.802093095907529,0.7117518248175183,0.7443650709030813,324,0.8747710013460299,0.8858024691358025,0.8758255572272703,324,0.46,0.696969696969697,0.5542168674698795,xgboost,,0.8624087591240875
0,0.5,0.36,144,0.9016949152542373,0.9708029197080292,0.9349736379613357,274,0.7241379310344828,0.42,0.5316455696202531,50,0.8858024691358025,0.8858024691358025,0.8858024691358025,324,0.81291642314436,0.6954014598540146,0.7333096037907945,324,0.8742941460845222,0.8858024691358025,0.8727316521062304,324,0.42,0.7241379310344828,0.5316455696202531,adaboost,,0.822007299270073
0,0.2,0.43,172,0.9407114624505929,0.8686131386861314,0.903225806451613,274,0.49295774647887325,0.7,0.5785123966942148,50,0.8425925925925926,0.8425925925925926,0.8425925925925926,324,0.7168346044647331,0.7843065693430658,0.7408691015729139,324,0.8716136667759448,0.8425925925925926,0.853115712353249,324,0.7,0.49295774647887325,0.5785123966942148,gradientboost,,0.8704379562043795
0,0.42500000000000004,0.49,196,0.9257950530035336,0.9562043795620438,0.940754039497307,274,0.7073170731707317,0.58,0.6373626373626374,50,0.8981481481481481,0.8981481481481481,0.8981481481481481,324,0.8165560630871327,0.7681021897810218,0.7890583384299722,324,0.8920793153750148,0.8981481481481481,0.8939343786740556,324,0.58,0.7073170731707317,0.6373626373626374,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.8789051094890511
0,0.225,0.445,178,0.9407114624505929,0.875,0.9066666666666667,272,0.5072463768115942,0.7,0.5882352941176471,50,0.8478260869565217,0.8478260869565217,0.8478260869565218,322,0.7239789196310935,0.7875,0.747450980392157,322,0.8734032193389472,0.8478260869565217,0.857220801364024,322,0.7,0.5072463768115942,0.5882352941176471,grid_search_MLP,"{'mlpc__hidden_layer_sizes': 3, 'mlpc__learning_rate_init': 0.01}",0.8631250000000001
0,0.225,0.4275,171,0.9256505576208178,0.9154411764705882,0.9205175600739371,272,0.5660377358490566,0.6,0.5825242718446602,50,0.8664596273291926,0.8664596273291926,0.8664596273291926,322,0.7458441467349373,0.7577205882352941,0.7515209159592986,322,0.8698100573456997,0.8664596273291926,0.8680341302246706,322,0.6,0.5660377358490566,0.5825242718446602,decision_tree,"{'dt__criterion': 'gini', 'dt__max_depth': 5, 'dt__max_features': None, 'dt__min_samples_split': 70}",0.814264705882353
0,0.55,0.515,206,0.9398496240601504,0.9191176470588235,0.929368029739777,272,0.6071428571428571,0.68,0.6415094339622641,50,0.8819875776397516,0.8819875776397516,0.8819875776397516,322,0.7734962406015038,0.7995588235294118,0.7854387318510205,322,0.8881870826133657,0.8819875776397516,0.8846694900227718,322,0.68,0.6071428571428571,0.6415094339622641,naive_bayes,{'nb__alpha': 1},0.8326470588235294
0,0.25,0.45,180,0.9348659003831418,0.8970588235294118,0.9155722326454033,272,0.5409836065573771,0.66,0.5945945945945946,50,0.860248447204969,0.860248447204969,0.860248447204969,322,0.7379247534702594,0.7785294117647059,0.755083413619999,322,0.873704053515787,0.860248447204969,0.8657309845008677,322,0.66,0.5409836065573771,0.5945945945945946,logistic_regression,"{'lr__C': 78.47599703514607, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.868014705882353
0,0.275,0.49,196,0.9420849420849421,0.8970588235294118,0.9190207156308852,272,0.5555555555555556,0.7,0.6194690265486726,50,0.8664596273291926,0.8664596273291926,0.8664596273291926,322,0.7488202488202489,0.7985294117647059,0.7692448710897789,322,0.8820648510089503,0.8664596273291926,0.872506478195759,322,0.7,0.5555555555555556,0.6194690265486726,gp,,0.8740441176470588
0,0.25,0.3525,141,0.9314516129032258,0.8492647058823529,0.8884615384615384,272,0.44594594594594594,0.66,0.532258064516129,50,0.8198757763975155,0.8198757763975155,0.8198757763975155,322,0.6886987794245858,0.7546323529411765,0.7103598014888337,322,0.8560625341831514,0.8198757763975155,0.8331504400228102,322,0.66,0.44594594594594594,0.532258064516129,xtree,"{'xtree__criterion': 'gini', 'xtree__min_samples_leaf': 1, 'xtree__min_samples_split': 5}",0.8305882352941176
0,0.325,0.3875,155,0.9188191881918819,0.9154411764705882,0.9171270718232044,272,0.5490196078431373,0.56,0.5544554455445545,50,0.860248447204969,0.860248447204969,0.860248447204969,322,0.7339193980175096,0.7377205882352942,0.7357912586838795,322,0.8613968931066731,0.860248447204969,0.8608116019041593,322,0.56,0.5490196078431373,0.5544554455445545,xgboost,,0.8584558823529411
0,0.5,0.2975,119,0.8938356164383562,0.9595588235294118,0.9255319148936171,272,0.6333333333333333,0.38,0.4750000000000001,50,0.8695652173913043,0.8695652173913043,0.8695652173913043,322,0.7635844748858447,0.6697794117647059,0.7002659574468086,322,0.8533849513599364,0.8695652173913043,0.8555735430157262,322,0.38,0.6333333333333333,0.4750000000000001,adaboost,,0.831764705882353
0,0.30000000000000004,0.4725,189,0.9195804195804196,0.9669117647058824,0.9426523297491041,272,0.75,0.54,0.627906976744186,50,0.9006211180124224,0.9006211180124224,0.9006211180124224,322,0.8347902097902098,0.7534558823529411,0.7852796532466451,322,0.8932480562915346,0.9006211180124224,0.893778827729707,322,0.54,0.75,0.627906976744186,gradientboost,,0.8703308823529412
0,0.30000000000000004,0.5,200,0.9486166007905138,0.8823529411764706,0.9142857142857144,272,0.5362318840579711,0.74,0.6218487394957984,50,0.860248447204969,0.860248447204969,0.860248447204969,322,0.7424242424242424,0.8111764705882353,0.7680672268907565,322,0.884581706887945,0.860248447204969,0.8688762461506342,322,0.74,0.5362318840579711,0.6218487394957984,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.8695588235294118
0,0.325,0.34438775510204084,135,0.9191176470588235,0.9025270758122743,0.9107468123861566,277,0.5,0.5510204081632653,0.5242718446601942,49,0.8496932515337423,0.8496932515337423,0.8496932515337423,326,0.7095588235294117,0.7267737419877698,0.7175093285231754,326,0.8561214363045833,0.8496932515337422,0.8526570166236653,326,0.5510204081632653,0.5,0.5242718446601942,grid_search_MLP,"{'mlpc__hidden_layer_sizes': 3, 'mlpc__learning_rate_init': 0.01}",0.8388712885876372
0,0.30000000000000004,0.2755102040816326,108,0.9246031746031746,0.8411552346570397,0.8809073724007561,277,0.40540540540540543,0.6122448979591837,0.4878048780487805,49,0.8067484662576687,0.8067484662576687,0.8067484662576687,326,0.6650042900042901,0.7267000663081117,0.6843561252247683,326,0.8465642461041234,0.8067484662576687,0.8218214146607352,326,0.6122448979591837,0.40540540540540543,0.4878048780487805,decision_tree,"{'dt__criterion': 'gini', 'dt__max_depth': 5, 'dt__max_features': None, 'dt__min_samples_split': 70}",0.7910926103293303
0,0.875,0.19642857142857142,77,0.881578947368421,0.9675090252707581,0.9225473321858865,277,0.5909090909090909,0.2653061224489796,0.36619718309859156,49,0.8619631901840491,0.8619631901840491,0.8619631901840491,326,0.736244019138756,0.6164075738598689,0.644372257642239,326,0.8378893063668653,0.8619631901840491,0.8389241502678575,326,0.2653061224489796,0.5909090909090909,0.36619718309859156,naive_bayes,{'nb__alpha': 1},0.7671848522802622
0,0.35000000000000003,0.32908163265306123,129,0.9110320284697508,0.924187725631769,0.9175627240143369,277,0.5333333333333333,0.4897959183673469,0.5106382978723404,49,0.8588957055214724,0.8588957055214724,0.8588957055214724,326,0.7221826809015421,0.7069918219995579,0.7141005109433387,326,0.8542613657038477,0.8588957055214724,0.8563992366494357,326,0.4897959183673469,0.5333333333333333,0.5106382978723404,logistic_regression,"{'lr__C': 78.47599703514607, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.8384292345096883
0,0.17500000000000002,0.336734693877551,132,0.9453781512605042,0.8122743682310469,0.8737864077669902,277,0.4090909090909091,0.7346938775510204,0.5255474452554745,49,0.8006134969325154,0.8006134969325154,0.8006134969325154,326,0.6772345301757067,0.7734841228910336,0.6996669265112323,326,0.864770559646056,0.8006134969325154,0.8214437416226212,326,0.7346938775510204,0.4090909090909091,0.5255474452554745,gp,,0.833640315331909
0,0.4,0.29846938775510207,117,0.9027777777777778,0.9386281588447654,0.920353982300885,277,0.5526315789473685,0.42857142857142855,0.4827586206896552,49,0.8619631901840491,0.8619631901840491,0.8619631901840491,326,0.7277046783625731,0.683599793708097,0.7015563014952702,326,0.8501484411437592,0.8619631901840491,0.8545804463531849,326,0.42857142857142855,0.5526315789473685,0.4827586206896552,xtree,"{'xtree__criterion': 'gini', 'xtree__min_samples_leaf': 1, 'xtree__min_samples_split': 5}",0.8417446400943048
0,0.25,0.32908163265306123,129,0.9185185185185185,0.8953068592057761,0.9067641681901281,277,0.48214285714285715,0.5510204081632653,0.5142857142857142,49,0.843558282208589,0.843558282208589,0.843558282208589,326,0.7003306878306879,0.7231636336845206,0.7105249412379211,326,0.8529283117473302,0.843558282208589,0.8477720079406917,326,0.5510204081632653,0.48214285714285715,0.5142857142857142,xgboost,,0.8287777204744714
0,0.5,0.336734693877551,132,0.9044368600682594,0.9566787003610109,0.9298245614035088,277,0.6363636363636364,0.42857142857142855,0.5121951219512195,49,0.8773006134969326,0.8773006134969326,0.8773006134969326,326,0.7704002482159479,0.6926250644662197,0.7210098416773641,326,0.8641436454623498,0.8773006134969326,0.8670520382956495,326,0.42857142857142855,0.6363636363636364,0.5121951219512195,adaboost,,0.7774257717527444
0,0.325,0.288265306122449,113,0.8979591836734694,0.9530685920577617,0.9246935201401052,277,0.59375,0.3877551020408163,0.46913580246913583,49,0.8680981595092024,0.8680981595092024,0.8680981595092024,326,0.7458545918367347,0.670411847049289,0.6969146613046205,326,0.8522344904219357,0.8680981595092024,0.8562201208582724,326,0.3877551020408163,0.59375,0.46913580246913583,gradientboost,,0.7843881234804392
0,0.42500000000000004,0.32908163265306123,129,0.9110320284697508,0.924187725631769,0.9175627240143369,277,0.5333333333333333,0.4897959183673469,0.5106382978723404,49,0.8588957055214724,0.8588957055214724,0.8588957055214724,326,0.7221826809015421,0.7069918219995579,0.7141005109433387,326,0.8542613657038477,0.8588957055214724,0.8563992366494357,326,0.4897959183673469,0.5333333333333333,0.5106382978723404,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.8228836661018198
0,0.325,0.461734693877551,181,0.927797833935018,0.9379562043795621,0.9328493647912887,274,0.6304347826086957,0.5918367346938775,0.6105263157894736,49,0.8854489164086687,0.8854489164086687,0.8854489164086686,323,0.7791163082718568,0.7648964695367197,0.7716878402903811,323,0.8826870304830372,0.8854489164086687,0.8839520601439544,323,0.5918367346938775,0.6304347826086957,0.6105263157894736,grid_search_MLP,"{'mlpc__hidden_layer_sizes': 3, 'mlpc__learning_rate_init': 0.01}",0.8806792790108744
0,0.225,0.33163265306122447,130,0.9411764705882353,0.8175182481751825,0.8749999999999999,274,0.4117647058823529,0.7142857142857143,0.5223880597014926,49,0.8018575851393189,0.8018575851393189,0.8018575851393189,323,0.6764705882352942,0.7659019812304484,0.6986940298507462,323,0.860863230741213,0.8018575851393189,0.821507786146666,323,0.7142857142857143,0.4117647058823529,0.5223880597014926,decision_tree,"{'dt__criterion': 'gini', 'dt__max_depth': 5, 'dt__max_features': None, 'dt__min_samples_split': 70}",0.8213168479070461
0,0.8,0.26785714285714285,105,0.9074074074074074,0.8941605839416058,0.9007352941176471,274,0.4528301886792453,0.4897959183673469,0.47058823529411764,49,0.8328173374613003,0.8328173374613003,0.8328173374613003,323,0.6801187980433263,0.6919782511544763,0.6856617647058824,323,0.8384467767025159,0.8328173374613003,0.8354807867419414,323,0.4897959183673469,0.4528301886792453,0.47058823529411764,naive_bayes,{'nb__alpha': 1},0.7959183673469388
0,0.375,0.45663265306122447,179,0.925,0.9452554744525548,0.9350180505415162,274,0.6511627906976745,0.5714285714285714,0.6086956521739131,49,0.8885448916408669,0.8885448916408669,0.8885448916408669,323,0.7880813953488373,0.7583420229405631,0.7718568513577146,323,0.8834581323349413,0.8885448916408669,0.885514033451694,323,0.5714285714285714,0.6511627906976745,0.6086956521739131,logistic_regression,"{'lr__C': 78.47599703514607, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.8798599731863548
0,0.45,0.4260204081632653,167,0.9163763066202091,0.9598540145985401,0.9376114081996435,274,0.6944444444444444,0.5102040816326531,0.588235294117647,49,0.891640866873065,0.891640866873065,0.891640866873065,323,0.8054103755323267,0.7350290481155966,0.7629233511586453,323,0.882708624742152,0.891640866873065,0.8846100781995884,323,0.5102040816326531,0.6944444444444444,0.588235294117647,gp,,0.8706986444212722
0,0.30000000000000004,0.413265306122449,162,0.9375,0.8759124087591241,0.9056603773584906,274,0.4925373134328358,0.673469387755102,0.5689655172413793,49,0.8452012383900929,0.8452012383900929,0.8452012383900929,323,0.7150186567164178,0.774690898257113,0.7373129472999349,323,0.86999792061365,0.8452012383900929,0.8545828289196719,323,0.673469387755102,0.4925373134328358,0.5689655172413793,xtree,"{'xtree__criterion': 'gini', 'xtree__min_samples_leaf': 1, 'xtree__min_samples_split': 5}",0.8214285714285714
0,0.5,0.40561224489795916,159,0.9131944444444444,0.9598540145985401,0.9359430604982206,274,0.6857142857142857,0.4897959183673469,0.5714285714285715,49,0.8885448916408669,0.8885448916408669,0.8885448916408669,323,0.7994543650793651,0.7248249664829436,0.7536858159633961,323,0.8786850705194359,0.8885448916408669,0.8806451968313078,323,0.4897959183673469,0.6857142857142857,0.5714285714285715,xgboost,,0.862356621480709
0,0.5,0.3826530612244898,150,0.9122807017543859,0.948905109489051,0.9302325581395348,274,0.631578947368421,0.4897959183673469,0.5517241379310346,49,0.8792569659442725,0.8792569659442725,0.8792569659442725,323,0.7719298245614035,0.719350513928199,0.7409783480352847,323,0.8696974634729239,0.8792569659442725,0.8728117761264805,323,0.4897959183673469,0.631578947368421,0.5517241379310346,adaboost,,0.8652986742142112
0,0.17500000000000002,0.3392857142857143,133,0.9517543859649122,0.791970802919708,0.8645418326693226,274,0.4,0.7755102040816326,0.5277777777777778,49,0.7894736842105263,0.7894736842105263,0.7894736842105263,323,0.6758771929824561,0.7837405035006704,0.6961598052235503,323,0.8680517082179133,0.7894736842105263,0.8134537871904195,323,0.7755102040816326,0.4,0.5277777777777778,gradientboost,,0.8452629226873232
0,0.375,0.3852040816326531,151,0.9250936329588015,0.9014598540145985,0.9131238447319778,274,0.5178571428571429,0.5918367346938775,0.5523809523809524,49,0.8544891640866873,0.8544891640866873,0.8544891640866874,323,0.7214753879079723,0.7466482943542381,0.7327523985564651,323,0.8633147226957016,0.8544891640866873,0.8583981427963734,323,0.5918367346938775,0.5178571428571429,0.5523809523809524,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.8606435274839863
