,best_threshold,best_profit,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,micro avg_precision,micro avg_recall,micro avg_f1-score,micro avg_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,recall,precision,f1_score,model_type,params,auroc
0,0.17500000000000002,307,0.9560439560439561,0.9182058047493403,0.9367429340511441,379,0.6172839506172839,0.7575757575757576,0.6802721088435375,66,0.8943820224719101,0.8943820224719101,0.8943820224719101,445,0.78666395333062,0.8378907811625489,0.8085075214473407,445,0.9058008990593261,0.8943820224719101,0.8987045644697912,445,0.7575757575757576,0.6172839506172839,0.6802721088435375,grid_search_MLP,"{'mlpc__hidden_layer_sizes': 6, 'mlpc__learning_rate_init': 0.01}",0.9123690733189413
0,0.15000000000000002,227,0.9501466275659824,0.8548812664907651,0.8999999999999999,379,0.47115384615384615,0.7424242424242424,0.5764705882352942,66,0.8382022471910112,0.8382022471910112,0.8382022471910112,445,0.7106502368599144,0.7986527544575037,0.7382352941176471,445,0.8791050015587892,0.8382022471910112,0.8520158625247851,445,0.7424242424242424,0.47115384615384615,0.5764705882352942,decision_tree,"{'dt__criterion': 'entropy', 'dt__max_depth': 6, 'dt__max_features': None, 'dt__min_samples_split': 70}",0.8549812105221076
0,0.9500000000000001,215,0.9183673469387755,0.9498680738786279,0.933852140077821,379,0.6415094339622641,0.5151515151515151,0.5714285714285715,66,0.8853932584269663,0.8853932584269663,0.8853932584269663,445,0.7799383904505198,0.7325097945150716,0.7526403557531962,445,0.8773052744523715,0.8853932584269663,0.8800994310197301,445,0.5151515151515151,0.6415094339622641,0.5714285714285715,naive_bayes,{'nb__alpha': 0.75},0.8388102662508995
0,0.25,332,0.9616438356164384,0.9261213720316622,0.9435483870967741,379,0.65,0.7878787878787878,0.7123287671232875,66,0.9056179775280899,0.9056179775280899,0.9056179775280899,445,0.8058219178082192,0.8570000799552251,0.8279385771100308,445,0.9154225026935509,0.9056179775280899,0.9092551400894704,445,0.7878787878787878,0.65,0.7123287671232875,logistic_regression,"{'lr__C': 4.281332398719396, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.9433517230351004
0,0.15000000000000002,319,0.9791044776119403,0.8654353562005277,0.9187675070028011,379,0.5363636363636364,0.8939393939393939,0.6704545454545455,66,0.8696629213483146,0.8696629213483146,0.8696629213483146,445,0.7577340569877884,0.8796873750699608,0.7946110262286733,445,0.9134395438537649,0.8696629213483146,0.8819390677619362,445,0.8939393939393939,0.5363636363636364,0.6704545454545455,xgboost,,0.9370352602542577
0,0.35000000000000003,335,0.9617486338797814,0.9287598944591029,0.9449664429530201,379,0.6582278481012658,0.7878787878787878,0.7172413793103448,66,0.9078651685393259,0.9078651685393259,0.9078651685393259,445,0.8099882409905236,0.8583193411689454,0.8311039111316825,445,0.9167320678991475,0.9078651685393259,0.911191489693657,445,0.7878787878787878,0.6582278481012658,0.7172413793103448,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.9033341328855842
0,0.30000000000000004,172,0.9138381201044387,0.9259259259259259,0.9198423127463863,378,0.5333333333333333,0.49230769230769234,0.512,65,0.8623024830699775,0.8623024830699775,0.8623024830699775,443,0.723585726718886,0.7091168091168092,0.7159211563731931,443,0.858007846650439,0.8623024830699775,0.8600008898829211,443,0.49230769230769234,0.5333333333333333,0.512,grid_search_MLP,"{'mlpc__hidden_layer_sizes': 3, 'mlpc__learning_rate_init': 0.01}",0.8037444037444038
0,0.35000000000000003,164,0.9114583333333334,0.9259259259259259,0.9186351706036746,378,0.5254237288135594,0.47692307692307695,0.5000000000000001,65,0.8600451467268623,0.8600451467268623,0.8600451467268623,443,0.7184410310734464,0.7014245014245014,0.7093175853018374,443,0.854816687071967,0.8600451467268623,0.8572101455715326,443,0.47692307692307695,0.5254237288135594,0.5000000000000001,decision_tree,"{'dt__criterion': 'entropy', 'dt__max_depth': 6, 'dt__max_features': None, 'dt__min_samples_split': 70}",0.8439967439967441
0,0.9750000000000001,145,0.9015151515151515,0.9444444444444444,0.9224806201550387,378,0.5531914893617021,0.4,0.4642857142857143,65,0.8645598194130926,0.8645598194130926,0.8645598194130926,443,0.7273533204384268,0.6722222222222223,0.6933831672203765,443,0.8504067135016657,0.8645598194130926,0.8552511192938512,443,0.4,0.5531914893617021,0.4642857142857143,naive_bayes,{'nb__alpha': 0.75},0.7294668294668295
0,0.4,262,0.9309462915601023,0.9629629629629629,0.9466840052015606,378,0.7307692307692307,0.5846153846153846,0.6495726495726495,65,0.90744920993228,0.90744920993228,0.90744920993228,443,0.8308577611646666,0.7737891737891738,0.798128327387105,443,0.9015749395253243,0.90744920993228,0.9030897882356933,443,0.5846153846153846,0.7307692307692307,0.6495726495726495,logistic_regression,"{'lr__C': 29.763514416313132, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.9043956043956044
0,0.2,278,0.9550561797752809,0.8994708994708994,0.9264305177111717,378,0.5632183908045977,0.7538461538461538,0.6447368421052632,65,0.8781038374717833,0.8781038374717833,0.8781038374717833,443,0.7591372852899393,0.8266585266585267,0.7855836799082174,443,0.8975630504680701,0.8781038374717833,0.8850984885590631,443,0.7538461538461538,0.5632183908045977,0.6447368421052632,xgboost,,0.911965811965812
