,0.0_f1-score,0.0_precision,0.0_recall,0.0_support,0_f1-score,0_precision,0_recall,0_support,1.0_f1-score,1.0_precision,1.0_recall,1.0_support,1_f1-score,1_precision,1_recall,1_support,auroc,best_profit,best_threshold,f1_score,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,model_type,params,precision,recall,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,0.9475728155339807,0.9420849420849421,0.953125,256.0,,,,,0.4255319148936171,0.45454545454545453,0.4,25.0,,,,,0.8304687500000001,0.22,0.2,0.4255319148936171,0.6865523652137988,0.6983151983151983,0.6765625,281,0.9039145907473308,0.9039145907473309,0.9039145907473309,281,gradientboost,,0.45454545454545453,0.4,0.9011278955481832,0.8987095428376568,0.9039145907473309,281
0,0.9490196078431371,0.952755905511811,0.9453125,256.0,,,,,0.5,0.48148148148148145,0.52,25.0,,,,,0.8948437499999999,0.31,0.42500000000000004,0.5,0.7245098039215685,0.7171186934966463,0.73265625,281,0.9074733096085409,0.9074733096085409,0.9074733096085409,281,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.48148148148148145,0.52,0.9090712441560252,0.9108275759717461,0.9074733096085409,281
0,0.9296875,0.9015151515151515,0.9596774193548387,248.0,,,,,0.27999999999999997,0.4117647058823529,0.21212121212121213,33.0,,,,,0.7831133919843597,0.09848484848484848,0.15000000000000002,0.27999999999999997,0.60484375,0.6566399286987522,0.5858993157380255,281,0.8718861209964412,0.8718861209964412,0.8718861209964412,281,grid_search_MLP,"{'mlpc__hidden_layer_sizes': (3, 3), 'mlpc__learning_rate_init': 0.001}",0.4117647058823529,0.21212121212121213,0.8533896797153026,0.8439999746258905,0.8718861209964412,281
0,0.8879668049792532,0.9145299145299145,0.8629032258064516,248.0,,,,,0.325,0.2765957446808511,0.3939393939393939,33.0,,,,,0.6921432062561094,0.007575757575757576,0.275,0.325,0.6064834024896266,0.5955628296053828,0.6284213098729228,281,0.8078291814946619,0.8078291814946619,0.8078291814946619,281,decision_tree,"{'dt__criterion': 'entropy', 'dt__max_depth': 6, 'dt__max_features': None, 'dt__min_samples_split': 70}",0.2765957446808511,0.3939393939393939,0.8218532656044654,0.8396123785689924,0.8078291814946619,281
0,0.9141716566866267,0.9051383399209486,0.9233870967741935,248.0,,,,,0.2950819672131148,0.32142857142857145,0.2727272727272727,33.0,,,,,0.7495112414467253,0.056818181818181816,0.8500000000000001,0.2950819672131148,0.6046268119498708,0.6132834556747601,0.5980571847507331,281,0.8469750889679716,0.8469750889679716,0.8469750889679716,281,naive_bayes,{'nb__alpha': 0.75},0.32142857142857145,0.2727272727272727,0.8414671735811965,0.8365887941549399,0.8469750889679716,281
0,0.9482071713147411,0.937007874015748,0.9596774193548387,248.0,,,,,0.5666666666666667,0.6296296296296297,0.5151515151515151,33.0,,,,,0.8660801564027371,0.4015151515151515,0.325,0.5666666666666667,0.7574369189907039,0.7833187518226888,0.7374144672531769,281,0.9074733096085409,0.9074733096085409,0.9074733096085409,281,logistic_regression,"{'lr__C': 78.47599703514607, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.6296296296296297,0.5151515151515151,0.9033999234379209,0.9009100730736059,0.9074733096085409,281
0,0.9256198347107438,0.9491525423728814,0.9032258064516129,248.0,,,,,0.5384615384615385,0.4666666666666667,0.6363636363636364,33.0,,,,,0.8379765395894428,0.36363636363636365,0.15000000000000002,0.5384615384615385,0.7320406865861412,0.707909604519774,0.7697947214076246,281,0.8718861209964412,0.8718861209964412,0.8718861209964412,281,xgboost,,0.4666666666666667,0.6363636363636364,0.8801528461832571,0.8924905000301586,0.8718861209964412,281
0,0.9312377210216111,0.9080459770114943,0.9556451612903226,248.0,,,,,0.339622641509434,0.45,0.2727272727272727,33.0,,,,,0.770039100684262,0.14772727272727273,0.5,0.339622641509434,0.6354301812655225,0.6790229885057472,0.6141862170087977,281,0.8754448398576512,0.8754448398576512,0.8754448398576512,281,adaboost,,0.45,0.2727272727272727,0.861759793534416,0.8542541007076533,0.8754448398576512,281
0,0.9188118811881187,0.9027237354085603,0.9354838709677419,248.0,,,,,0.2807017543859649,0.3333333333333333,0.24242424242424243,33.0,,,,,0.7564149560117301,0.06060606060606061,0.17500000000000002,0.2807017543859649,0.5997568177870418,0.6180285343709468,0.5889540566959921,281,0.8540925266903915,0.8540925266903915,0.8540925266903915,281,gradientboost,,0.3333333333333333,0.24242424242424243,0.8438736812433818,0.8358558234210781,0.8540925266903915,281
0,0.9158110882956879,0.9330543933054394,0.8991935483870968,248.0,,,,,0.4533333333333333,0.40476190476190477,0.5151515151515151,33.0,,,,,0.8216031280547409,0.23106060606060605,0.275,0.4533333333333333,0.6845722108145106,0.6689081490336721,0.707172531769306,281,0.8540925266903915,0.8540925266903915,0.8540925266903915,281,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.40476190476190477,0.5151515151515151,0.8614987540830271,0.8710129266793303,0.8540925266903915,281
