,best_threshold,best_profit,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,micro avg_precision,micro avg_recall,micro avg_f1-score,micro avg_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,recall,precision,f1_score,model_type,params,auroc
0,0.5,296,0.9345088161209067,0.978891820580475,0.9561855670103093,379,0.8333333333333334,0.6060606060606061,0.7017543859649124,66,0.9235955056179775,0.9235955056179775,0.9235955056179775,445,0.88392107472712,0.7924762133205405,0.8289699764876108,445,0.9195030141793791,0.9235955056179775,0.9184497064507673,445,0.6060606060606061,0.8333333333333334,0.7017543859649124,adaboost,,0.9097705285040377
0,0.5,162,0.9045226130653267,0.9523809523809523,0.9278350515463917,378,0.6,0.4153846153846154,0.4909090909090909,65,0.873589164785553,0.873589164785553,0.873589164785553,443,0.7522613065326633,0.6838827838827839,0.7093720712277413,443,0.8598409655500983,0.873589164785553,0.8637262762835823,443,0.4153846153846154,0.6,0.4909090909090909,adaboost,,0.8831094831094831
0,0.5,233,0.9213197969543148,0.9654255319148937,0.942857142857143,376,0.723404255319149,0.5230769230769231,0.6071428571428572,65,0.9002267573696145,0.9002267573696145,0.9002267573696145,441,0.8223620261367319,0.7442512274959083,0.7750000000000001,441,0.8921485719967506,0.9002267573696145,0.8933754454162618,441,0.5230769230769231,0.723404255319149,0.6071428571428572,adaboost,,0.9057487725040918
0,0.5,199,0.9125964010282777,0.9491978609625669,0.9305373525557011,374,0.6274509803921569,0.48484848484848486,0.5470085470085471,66,0.8795454545454545,0.8795454545454545,0.8795454545454546,440,0.7700236907102173,0.7170231729055259,0.738772949782124,440,0.8698245879328595,0.8795454545454545,0.873008031723628,440,0.48484848484848486,0.6274509803921569,0.5470085470085471,adaboost,,0.8557770215524226
0,0.5,182,0.905,0.9627659574468085,0.9329896907216496,376,0.6666666666666666,0.42424242424242425,0.5185185185185185,66,0.8823529411764706,0.8823529411764706,0.8823529411764706,442,0.7858333333333334,0.6935041908446163,0.725754104620084,442,0.8694117647058824,0.8823529411764706,0.871100330166431,442,0.42424242424242425,0.6666666666666666,0.5185185185185185,adaboost,,0.9059276273372018
