,model,auroc,precision,recall,f1_score,best_threshold,best_profit
0,xgboost,0.8207969558624337,0.43663500980916714,0.5907316183178253,0.4766956782713085,0.1625,31.916666666666668
0,adaboost,0.6719883818144758,0.48987794612794616,0.3495438788542237,0.3428931426428297,0.4875000000000001,24.333333333333332
0,gradientboost,0.7125219994654408,0.4862804878048781,0.36920498084291187,0.37048304372112223,0.2729166666666667,23.25
0,ensemble,0.8093011216487275,0.6146616541353384,0.5311074621419448,0.5390363259928478,0.33958333333333335,33.5
0,grid_search_MLP,0.715501518286555,0.15238095238095237,0.09333333333333334,0.11503267973856209,0.052500000000000005,5.8
0,decision_tree,0.7016233911946885,0.4625,0.29428571428571426,0.3087936507936508,0.505,9.0
0,naive_bayes,0.7904582941085389,0.474020424020424,0.5407142857142857,0.475612225938313,0.7925,14.6
0,logistic_regression,0.8420302117756217,0.6033333333333333,0.5746825396825397,0.560928077770183,0.34,21.0
