,model,auroc,precision,recall,f1_score,best_threshold,best_profit_ratio,best_profit
0,grid_search_MLP,0.46958453776807396,0.0,0.0,0.0,0.49000000000000005,0.0,0.0
0,decision_tree,0.4835130436796054,0.0,0.0,0.0,0.395,0.0,0.0
0,naive_bayes,0.4859336072945462,0.0,0.0,0.0,0.5199999999999999,0.0,0.0
0,logistic_regression,0.5,0.0,0.0,0.0,0.525,0.0,0.0
0,gp,0.5055178598398438,0.0,0.0,0.0,0.5349999999999999,0.0,0.0
0,xtree,0.4552162967453556,0.027586206896551724,0.16,0.04705882352941176,0.41500000000000004,-0.215,-86.0
0,xgboost,0.4731144122226906,0.0,0.0,0.0,0.475,0.0,0.0
0,adaboost,0.48058998857530166,0.0,0.0,0.0,0.42000000000000004,0.0,0.0
0,gradientboost,0.46929898872212306,0.0,0.0,0.0,0.4800000000000001,0.0,0.0
0,ensemble,0.47015789554005244,0.0,0.0,0.0,0.4800000000000001,0.0,0.0
