,model,auroc,precision,recall,f1_score,best_threshold,best_profit_ratio,best_profit
0,grid_search_MLP,0.45479474579651624,0.011594202898550725,0.0163265306122449,0.013559322033898306,0.541,0.001326530612244898,0.52
0,decision_tree,0.49302025323783105,0.010658964484381686,0.0504,0.01692347399664473,0.5429999999999999,-0.0633,-25.32
0,naive_bayes,0.5327522397092201,0.04,0.0008,0.001568627450980392,0.521,0.0008,0.32
0,logistic_regression,0.5,0.0,0.0,0.0,0.525,0.0,0.0
0,gp,0.5553910950502271,0.1415033926951245,0.23714285714285716,0.12451258248340089,0.482,-0.14666734693877553,-57.96
0,xtree,0.5044279472011595,0.08855403639083609,0.2990204081632653,0.10550886382351682,0.42700000000000005,-0.3124224489795918,-123.64
0,xgboost,0.48838927446587826,0.04146563705979837,0.08352653061224491,0.03881599395279541,0.493,-0.06287346938775511,-25.16
0,adaboost,0.5202803407307071,0.0,0.0,0.0,0.47800000000000004,0.0,0.0
0,gradientboost,0.5020386244263313,0.011594202898550725,0.0163265306122449,0.013559322033898306,0.6140000000000001,0.001326530612244898,0.52
0,ensemble,0.4749278750534793,0.04,0.0008,0.001568627450980392,0.534,0.0008,0.32
