,model,auroc,precision,recall,f1_score,best_threshold,best_profit_ratio,best_profit
0,grid_search_MLP,0.5666885025225377,0.0,0.0,0.0,0.535,0.0,0.0
0,decision_tree,0.5324770935062352,0.0,0.0,0.0,0.34,0.0,0.0
0,naive_bayes,0.6197193607852362,0.0,0.0,0.0,0.505,0.0,0.0
0,logistic_regression,0.5,0.0,0.0,0.0,0.525,0.0,0.0
0,gp,0.5722501140627985,0.0,0.0,0.0,0.6050000000000001,-0.0165,-6.6
0,xtree,0.4778442504719068,0.0,0.0,0.0,0.2,0.0,0.0
0,xgboost,0.4805264907231555,0.0,0.0,0.0,0.14500000000000002,0.0,0.0
0,adaboost,0.5509430433270237,0.0,0.0,0.0,0.385,0.0,0.0
0,gradientboost,0.5509430433270237,0.0,0.0,0.0,0.4,0.0,0.0
0,ensemble,0.6095572995191734,0.0,0.0,0.0,0.475,0.0,0.0
