,model,auroc,precision,recall,f1_score,best_threshold,best_profit_ratio,best_profit
0,grid_search_MLP,0.6099856560874994,0.15073794273623795,0.14387755102040814,0.13278607051426525,0.7166666666666668,0.055357142857142855,22.083333333333332
0,xgboost,0.5098828124899673,0.04395018471069756,0.2066326530612245,0.0696622449873041,0.86875,-0.19276785714285716,-75.66666666666667
0,adaboost,0.5194638763015819,0.0,0.0,0.0,0.5729166666666669,0.0,0.0
0,gradientboost,0.528199768987188,0.0,0.0,0.0,0.8416666666666667,0.0,0.0
0,ensemble,0.6001676921577579,0.0,0.0,0.0,0.6625000000000001,0.0,0.0
0,decision_tree,0.4895792785126737,0.06987391905164694,0.42800000000000005,0.11900970332683011,0.4625,-0.5170153061224491,-204.1
0,naive_bayes,0.546727761437986,0.1,0.008,0.014814814814814814,0.5250000000000001,0.008,3.2
0,logistic_regression,0.5,0.0,0.0,0.0,0.5250000000000001,0.0,0.0
0,gp,0.6575176988100105,0.3342951431045441,0.6154693877551021,0.267018275243023,0.165,-0.47593367346938786,-188.9
0,xtree,0.5355524525738199,0.1731179560924824,0.48926530612244895,0.20467975346495115,0.6125,-0.42126530612244906,-166.4
