,model,auroc,precision,recall,f1_score,best_threshold,best_profit
0,xgboost,0.8830536907270856,0.5442257609431144,0.6814241825762563,0.5961262747930461,0.25104166666666666,178.25
0,adaboost,0.8638601113614351,0.6092857236218947,0.43569531307146514,0.5055035751110664,0.5,128.875
0,gradientboost,0.8137818408945007,0.47028430490364154,0.5411872074098457,0.4915906242464103,0.21458333333333335,117.0
0,ensemble,0.8521504467922382,0.6050724211519517,0.5593706568648965,0.572778327316346,0.4395833333333334,161.29166666666666
0,grid_search_MLP,0.8427104749008117,0.5399123532524819,0.581186224489796,0.5374935896653606,0.29750000000000004,141.35
0,decision_tree,0.7641739564129224,0.4532706876331842,0.5263605442176871,0.4726659751888597,0.225,105.45
0,naive_bayes,0.7701152924253493,0.45636069365077836,0.4815263605442177,0.4621659925448827,0.9012500000000001,99.5
0,logistic_regression,0.9023396064297972,0.5529355159920746,0.7469812925170067,0.6276714094054141,0.2425,195.9
0,xtree,0.8141024253966697,0.4928329623695916,0.5714498299319728,0.5153474913746043,0.29500000000000004,128.45
