,model,auroc,precision,recall,f1_score,best_threshold,best_profit_ratio,best_profit
0,grid_search_MLP,0.8510348356562691,0.5393060212727717,0.6187606408683693,0.5670616047804979,0.3041666666666667,0.4282523883870489,177.22222222222223
0,xgboost,0.8676280970555197,0.5624606602600505,0.6314623991673172,0.5836597918391826,0.3013888888888888,0.43195810564663023,178.38888888888889
0,adaboost,0.847740523471777,0.6030248446870985,0.43454518419389615,0.5022517773190347,0.5,0.32541420393293935,133.61111111111111
0,gradientboost,0.8478993124168984,0.533626833510398,0.6136024683097283,0.5533511734810491,0.24027777777777778,0.3867094160068399,160.11111111111111
0,ensemble,0.8663837431317876,0.5498601945377963,0.6372822571651612,0.5857507065594071,0.3638888888888889,0.4364616092338575,180.22222222222223
0,decision_tree,0.7995161105519711,0.47468713505776194,0.6120816326530611,0.5208178863114895,0.31,0.340938775510204,135.26666666666668
0,naive_bayes,0.8087991328778737,0.5096241213525109,0.576544217687075,0.5124414989625078,0.5983333333333332,0.33240136054421765,132.0
0,logistic_regression,0.8738787487008743,0.5695084985128904,0.6463945578231292,0.5964717278494578,0.2966666666666667,0.45203741496598643,179.33333333333334
0,gp,0.8609956694796222,0.550548764383309,0.6409523809523809,0.5815004637323623,0.26499999999999996,0.42594217687074837,169.0
0,xtree,0.8336843972169186,0.4865109815358281,0.5875374149659864,0.5224141168057372,0.30333333333333334,0.346547619047619,137.46666666666667
